instanceid,closed,opening,dayofweek,victim_gender,totalnumbervictims,totalsuspects
2720A83C-26AF-436D-A459-4C6290E52CF2,D--VICTIM REFUSED TO COOPERATE,NA,SUNDAY,FEMALE,1,2
8E46BCB5-1300-49B1-A9A7-4898D50885A6,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
AE46ADC6-6CC2-4FF3-9EDF-B12ED9B6772E,H--WARRANT ISSUED,NA,SUNDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
C66083D1-145A-4D57-992B-0BBDC5B32258,Z--EARLY CLOSED,NA,NA,MALE,1,NA
D971CCC3-49DE-4DD3-A1F3-8A00D52ED05F,Z--EARLY CLOSED,NA,TUESDAY,NA,1,1
F8998972-6052-40E8-BFB4-2F578CB264B4,J--CLOSED,NA,WEDNESDAY,NA,1,2
2D8DD374-EF95-4F89-AAFD-97CA95D60170,Z--EARLY CLOSED,NA,THURSDAY,MALE,2,NA
2E3BC5C3-3AFA-46A5-881B-5677213EA06C,D--VICTIM REFUSED TO COOPERATE,NA,SATURDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
F911AECF-97E2-4E9A-AFF5-DC6F24EC3B3D,Z--EARLY CLOSED,NA,SATURDAY,FEMALE,1,NA
6162ED44-FBAB-49DB-8080-5F76302F3115,J--CLOSED,NA,SATURDAY,FEMALE,1,NA
2FCB0C83-39B1-4B11-896C-2D993530F078,J--CLOSED,NA,SATURDAY,FEMALE,1,1
BA9A2912-CF27-4B5C-B1C1-19CB5B375C2B,I--INVESTIGATION PENDING,NA,MONDAY,MALE,1,2
303EE980-1EA0-48DD-836C-C5CE5DC5738B,Z--EARLY CLOSED,NA,TUESDAY,FEMALE,1,NA
9B5D95A8-5465-4CF8-B8A4-CFE30B935492,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
77D0B912-49C6-4089-97EA-41C914A2BB1A,J--CLOSED,NA,SUNDAY,FEMALE,1,2
77D0B912-49C6-4089-97EA-41C914A2BB1A,J--CLOSED,NA,SUNDAY,FEMALE,1,2
CF7102E3-36DF-4A68-987F-B4E813D1F930,I--INVESTIGATION PENDING,NA,WEDNESDAY,MALE,1,1
2D8DD374-EF95-4F89-AAFD-97CA95D60170,Z--EARLY CLOSED,NA,THURSDAY,MALE,2,NA
2D1D6524-2D76-4861-A33C-5AC7CBE50BDD,Z--EARLY CLOSED,NA,WEDNESDAY,NA,1,NA
B5AEE6C8-F423-4146-9451-63C0FDE8D6FB,I--INVESTIGATION PENDING,NA,SUNDAY,MALE,2,1
5BCC6BA2-9B7F-4663-A42E-8BC22FDBFA45,K--UNFOUNDED,NA,WEDNESDAY,FEMALE,1,5
5BCC6BA2-9B7F-4663-A42E-8BC22FDBFA45,K--UNFOUNDED,NA,WEDNESDAY,FEMALE,1,5
228BED13-589C-44D7-8193-A3FEA373EF29,Z--EARLY CLOSED,NA,FRIDAY,FEMALE,1,NA
A6018820-2493-46F3-B104-C2BCC5CE6303,K--UNFOUNDED,NA,TUESDAY,MALE,2,2
A6018820-2493-46F3-B104-C2BCC5CE6303,K--UNFOUNDED,NA,TUESDAY,MALE,2,2
8EE44EAA-3F89-4B06-880B-1D23D3481568,K--UNFOUNDED,NA,SATURDAY,FEMALE,1,1
D00AAB7A-638C-4757-9DEB-5676D60A852D,F--CLEARED BY ARREST - ADULT,NA,SATURDAY,FEMALE,1,1
4C7A4325-4D16-4099-AA50-26D4A1E82043,Z--EARLY CLOSED,NA,SUNDAY,MALE,1,1
7D033AF2-CDED-444A-AD05-D66754885136,Z--EARLY CLOSED,NA,TUESDAY,MALE,1,NA
EE125C37-5D4C-4496-86D9-D9F66C44368C,D--VICTIM REFUSED TO COOPERATE,NA,SATURDAY,FEMALE,1,2
EE125C37-5D4C-4496-86D9-D9F66C44368C,D--VICTIM REFUSED TO COOPERATE,NA,SATURDAY,FEMALE,1,2
0BD0BB46-D18D-4DCF-A3EA-75EDA8CC56ED,J--CLOSED,NA,SUNDAY,FEMALE,1,1
47505855-0DBC-49ED-A5EF-8BEB6E47F028,I--INVESTIGATION PENDING,NA,WEDNESDAY,FEMALE,1,1
E55034A8-105B-4338-AB71-358EF02600E7,J--CLOSED,NA,FRIDAY,FEMALE,1,1
9AF51081-E7E1-403F-BB3C-1A1DEDCA3080,H--WARRANT ISSUED,NA,THURSDAY,FEMALE,1,1
D5EAD3CD-11EA-415B-9189-4D4C86D0F21F,I--INVESTIGATION PENDING,NA,TUESDAY,FEMALE,1,1
0F4CC04F-23AE-45BE-99F4-A4736A388C72,Z--EARLY CLOSED,NA,MONDAY,FEMALE,1,NA
9AF51081-E7E1-403F-BB3C-1A1DEDCA3080,H--WARRANT ISSUED,NA,THURSDAY,FEMALE,1,1
73EBD123-1EED-4398-A709-C061D1F4F360,J--CLOSED,NA,FRIDAY,MALE,1,2
73EBD123-1EED-4398-A709-C061D1F4F360,J--CLOSED,NA,FRIDAY,MALE,1,2
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
53EC0D39-E2EC-4CE1-B038-8C222FD84745,J--CLOSED,NA,TUESDAY,MALE,2,4
F87DAFA2-4A47-42CB-B470-47655E592745,Z--EARLY CLOSED,NA,THURSDAY,MALE,1,NA
19D6AA30-B1D7-4820-A675-12B327C928B8,Z--EARLY CLOSED,NA,WEDNESDAY,MALE,1,NA
959A9788-2520-4A9C-A9CF-3244C5B9D734,J--CLOSED,NA,TUESDAY,FEMALE,1,1
1E06D51C-AFCA-47D4-ABEC-B72C37453AFD,Z--EARLY CLOSED,NA,SATURDAY,MALE,1,NA
39D0FF01-1BBD-4516-A18B-B95D87E89A1C,G--CLEARED BY ARREST - JUVENILE,NA,THURSDAY,MALE,2,NA
39D0FF01-1BBD-4516-A18B-B95D87E89A1C,G--CLEARED BY ARREST - JUVENILE,NA,THURSDAY,FEMALE,2,NA
